""", 1.0.0, ISC
@babel/plugin-transform-exponentiation-operator, 7.2.0, MIT
@babel/plugin-transform-for-of, 7.2.0, MIT
@babel/plugin-transform-for-of, 7.4.3, MIT
@babel/plugin-transform-for-of, 7.4.4, MIT
@babel/plugin-transform-function-name, 7.2.0, MIT
@babel/plugin-transform-function-name, 7.4.3, MIT
@babel/plugin-transform-function-name, 7.4.4, MIT
@babel/plugin-transform-literals, 7.2.0, MIT
@babel/plugin-transform-member-expression-literals, 7.2.0, MIT
@babel/plugin-transform-modules-amd, 7.2.0, MIT
@babel/plugin-transform-modules-commonjs, 7.2.0, MIT
@babel/plugin-transform-modules-commonjs, 7.4.3, MIT
@babel/plugin-transform-modules-commonjs, 7.4.4, MIT
@babel/plugin-transform-modules-systemjs, 7.2.0, MIT
@babel/plugin-transform-modules-systemjs, 7.4.0, MIT
@babel/plugin-transform-modules-systemjs, 7.4.4, MIT
@babel/plugin-transform-modules-umd, 7.2.0, MIT
@babel/plugin-transform-named-capturing-groups-regex, 7.4.2, MIT
@babel/plugin-transform-named-capturing-groups-regex, 7.4.5, MIT
@babel/plugin-transform-new-target, 7.0.0, MIT
@babel/plugin-transform-new-target, 7.4.0, MIT
@babel/plugin-transform-new-target, 7.4.4, MIT
@babel/plugin-transform-object-super, 7.2.0, MIT
@babel/plugin-transform-parameters, 7.2.0, MIT
@babel/plugin-transform-parameters, 7.4.3, MIT
@babel/plugin-transform-parameters, 7.4.4, MIT
@babel/plugin-transform-property-literals, 7.2.0, MIT
@babel/plugin-transform-react-display-name, 7.2.0, MIT
@babel/plugin-transform-react-jsx, 7.3.0, MIT
@babel/plugin-transform-react-jsx-self, 7.2.0, MIT
@babel/plugin-transform-react-jsx-source, 7.2.0, MIT
@babel/plugin-transform-regenerator, 7.0.0, MIT
@babel/plugin-transform-regenerator, 7.4.3, MIT
@babel/plugin-transform-regenerator, 7.4.5, MIT
@babel/plugin-transform-reserved-words, 7.2.0, MIT
@babel/plugin-transform-runtime, 7.2.0, MIT
@babel/plugin-transform-runtime, 7.4.3, MIT
@babel/plugin-transform-runtime, 7.4.4, MIT
@babel/plugin-transform-shorthand-properties, 7.2.0, MIT
@babel/plugin-transform-spread, 7.2.2, MIT
@babel/plugin-transform-sticky-regex, 7.2.0, MIT
@babel/plugin-transform-template-literals, 7.2.0, MIT
@babel/plugin-transform-template-literals, 7.4.4, MIT
@babel/plugin-transform-typeof-symbol, 7.2.0, MIT
@babel/plugin-transform-unicode-regex, 7.2.0, MIT
@babel/plugin-transform-unicode-regex, 7.4.3, MIT
@babel/plugin-transform-unicode-regex, 7.4.4, MIT
@babel/polyfill, 7.4.3, MIT
@babel/preset-env, 7.0.0, MIT
@babel/preset-env, 7.2.3, MIT
@babel/preset-env, 7.3.4, MIT
@babel/preset-env, 7.4.3, MIT
@babel/preset-react, 7.0.0, MIT
@babel/runtime, 7.2.0, MIT
@babel/runtime, 7.4.3, MIT
@babel/runtime, 7.4.5, MIT
@babel/runtime-corejs2, 7.4.3, MIT
@babel/runtime-corejs2, 7.4.5, MIT
@babel/template, 7.0.0-beta.44, MIT
@babel/template, 7.2.2, MIT
@babel/template, 7.4.0, MIT
@babel/template, 7.4.4, MIT
@babel/traverse, 7.0.0-beta.44, MIT
@babel/traverse, 7.2.3, MIT
@babel/traverse, 7.4.3, MIT
@babel/traverse, 7.4.5, MIT
@babel/types, 7.0.0-beta.44, MIT
@babel/types, 7.2.2, MIT
@babel/types, 7.4.0, MIT
@babel/types, 7.4.4, MIT
@bootstrap-vue/alert, 1.0.0, unknown
@bootstrap-vue/badge, 1.0.0, unknown
@bootstrap-vue/breadcrumb, 1.0.0, unknown
@bootstrap-vue/button, 1.0.0, unknown
@bootstrap-vue/button-group, 1.0.0, unknown
@bootstrap-vue/button-toolbar, 1.0.0, unknown
@bootstrap-vue/card, 1.0.0, unknown
@bootstrap-vue/carousel, 1.0.0, unknown
@bootstrap-vue/collapse, 1.0.0, unknown
@bootstrap-vue/dropdown, 1.0.0, unknown
@bootstrap-vue/embed, 1.0.0, unknown
@bootstrap-vue/form, 1.0.0, unknown
@bootstrap-vue/form-checkbox, 1.0.0, unknown
@bootstrap-vue/form-file, 1.0.0, unknown
@bootstrap-vue/form-group, 1.0.0, unknown
@bootstrap-vue/form-input, 1.1.0, unknown
@bootstrap-vue/form-radio, 1.0.0, unknown
@bootstrap-vue/form-select, 1.0.0, unknown
@bootstrap-vue/form-textarea, 1.0.0, unknown
@bootstrap-vue/image, 1.0.0, unknown
@bootstrap-vue/input-group, 1.0.0, unknown
@bootstrap-vue/jumbotron, 1.0.0, unknown
@bootstrap-vue/layout, 1.0.0, unknown
@bootstrap-vue/link, 1.0.0, unknown
@bootstrap-vue/list-group, 1.0.0, unknown
@bootstrap-vue/media, 1.0.0, unknown
@bootstrap-vue/modal, 1.0.0, unknown
@bootstrap-vue/nav, 1.0.0, unknown
@bootstrap-vue/navbar, 1.0.0, unknown
@bootstrap-vue/pagination, 1.0.0, unknown
@bootstrap-vue/popover, 0.0.0, unknown
@bootstrap-vue/popover, 1.0.0, unknown
@bootstrap-vue/progress, 1.0.0, unknown
@bootstrap-vue/scrollspy, 0.0.0, unknown
@bootstrap-vue/spinner, 1.0.0, unknown
@bootstrap-vue/table, 1.0.0, unknown
@bootstrap-vue/tabs, 1.0.0, unknown
@bootstrap-vue/toast, 1.0.0, unknown
@bootstrap-vue/tooltip, 0.0.0, unknown
@bootstrap-vue/tooltip, 1.0.0, unknown
@cnakazawa/watch, 1.0.3, "Apache 2.0"
@cypress/listr-verbose-renderer, 0.4.1, MIT
@cypress/webpack-preprocessor, 3.0.1, MIT
@cypress/xvfb, 1.2.3, MIT
@cypress/xvfb, 1.2.4, MIT
@hapi/address, 2.0.0, "New BSD"
@hapi/hoek, 6.2.4, "New BSD"
@hapi/joi, 15.0.3, "New BSD"
@hapi/topo, 3.1.0, "New BSD"
@intervolga/optimize-cssnano-plugin, 1.0.6, MIT
@jest/console, 24.7.1, MIT
@jest/core, 24.7.1, MIT
@jest/environment, 24.7.1, MIT
@jest/fake-timers, 24.7.1, MIT
@jest/reporters, 24.7.1, MIT
@jest/source-map, 24.3.0, MIT
@jest/test-result, 24.7.1, MIT
@jest/test-sequencer, 24.7.1, MIT
@jest/transform, 24.7.1, MIT
@jest/types, 24.7.0, MIT
@johmun/vue-tags-input, 2.0.1, MIT
@mdi/font, 2.8.94, "(OFL-1.1 OR MIT)"
@mrmlnc/readdir-enhanced, 2.2.1, MIT
@my-scope/package-a, 0.0.0, MIT
@my-scope/package-b, 0.0.0, MIT
@nodelib/fs.stat, 1.1.3, MIT
@nuxt/opencollective, 0.2.2, MIT
@proxeus/core, 1.0.0, UNKNOWN
@proxeus/wallet, 1.0.0, UNKNOWN
@soda/friendly-errors-webpack-plugin, 1.7.1, MIT
@tap-format/exit, 0.2.0, MIT
@tap-format/failures, 0.2.0, MIT
@tap-format/parser, 0.2.0, MIT
@tap-format/results, 0.2.0, MIT
@tap-format/spec, 0.2.0, MIT
@types/babel-types, 7.0.4, MIT
@types/babel-types, 7.0.6, MIT
@types/babel__core, 7.1.1, MIT
@types/babel__generator, 7.0.2, MIT
@types/babel__template, 7.0.2, MIT
@types/babel__traverse, 7.0.6, MIT
@types/babylon, 6.16.4, MIT
@types/babylon, 6.16.5, MIT
@types/blob-util, 1.3.3, MIT
@types/bluebird, 3.5.18, MIT
@types/chai, 4.0.8, MIT
@types/chai, 4.1.7, MIT
@types/chai-jquery, 1.1.35, MIT
@types/estree, 0.0.39, MIT
@types/events, 3.0.0, MIT
@types/glob, 7.1.1, MIT
@types/istanbul-lib-coverage, 2.0.0, MIT
@types/jquery, 3.3.28, MIT
@types/jquery, 3.3.6, MIT
@types/lodash, 4.14.87, MIT
@types/minimatch, 3.0.3, MIT
@types/mocha, 2.2.44, MIT
@types/node, 10.12.18, MIT
@types/node, 11.13.4, MIT
@types/node, 12.0.2, MIT
@types/normalize-package-data, 2.4.0, MIT
@types/q, 1.5.1, MIT
@types/q, 1.5.2, MIT
@types/resolve, 0.0.8, MIT
@types/sinon, 4.0.0, MIT
@types/sinon, 7.0.2, MIT
@types/sinon-chai, 2.7.29, MIT
@types/sizzle, 2.3.2, MIT
@types/stack-utils, 1.0.1, MIT
@types/strip-bom, 3.0.0, MIT
@types/strip-json-comments, 0.0.30, MIT
@types/yargs, 12.0.12, MIT
@vue/babel-helper-vue-jsx-merge-props, 1.0.0, MIT
@vue/babel-helper-vue-jsx-merge-props, 1.0.0-beta.3, MIT
@vue/babel-plugin-transform-vue-jsx, 1.0.0, MIT
@vue/babel-plugin-transform-vue-jsx, 1.0.0-beta.3, MIT
@vue/babel-preset-app, 3.2.0, MIT
@vue/babel-preset-app, 3.5.5, MIT
@vue/babel-preset-app, 3.8.0, MIT
@vue/babel-preset-jsx, 1.0.0, MIT
@vue/babel-preset-jsx, 1.0.0-beta.3, MIT
@vue/babel-sugar-functional-vue, 1.0.0, MIT
@vue/babel-sugar-functional-vue, 1.0.0-beta.3, MIT
@vue/babel-sugar-inject-h, 1.0.0, MIT
@vue/babel-sugar-inject-h, 1.0.0-beta.3, MIT
@vue/babel-sugar-v-model, 1.0.0, MIT
@vue/babel-sugar-v-model, 1.0.0-beta.3, MIT
@vue/babel-sugar-v-on, 1.0.0, MIT
@vue/babel-sugar-v-on, 1.0.0-beta.3, MIT
@vue/cli-overlay, 3.2.0, MIT
@vue/cli-overlay, 3.5.1, MIT
@vue/cli-overlay, 3.8.0, MIT
@vue/cli-plugin-babel, 3.2.0, MIT
@vue/cli-plugin-babel, 3.5.5, MIT
@vue/cli-plugin-babel, 3.8.0, MIT
@vue/cli-plugin-e2e-cypress, 3.2.0, MIT
@vue/cli-plugin-e2e-cypress, 3.8.0, MIT
@vue/cli-plugin-eslint, 3.2.1, MIT
@vue/cli-plugin-eslint, 3.5.1, MIT
@vue/cli-plugin-eslint, 3.8.0, MIT
@vue/cli-plugin-unit-jest, 3.5.3, MIT
@vue/cli-service, 3.2.0, MIT
@vue/cli-service, 3.5.3, MIT
@vue/cli-service, 3.8.0, MIT
@vue/cli-shared-utils, 3.2.0, MIT
@vue/cli-shared-utils, 3.5.1, MIT
@vue/cli-shared-utils, 3.8.0, MIT
@vue/component-compiler, 4.0.0, MIT
@vue/component-compiler-utils, 1.3.1, MIT
@vue/component-compiler-utils, 2.3.1, MIT
@vue/component-compiler-utils, 2.6.0, MIT
@vue/component-compiler-utils, 3.0.0, MIT
@vue/eslint-config-standard, 4.0.0, MIT
@vue/preload-webpack-plugin, 1.1.0, "Apache 2.0"
@vue/test-utils, 1.0.0-beta.29, MIT
@vue/web-component-wrapper, 1.2.0, MIT
@webassemblyjs/ast, 1.7.11, MIT
@webassemblyjs/ast, 1.7.6, MIT
@webassemblyjs/ast, 1.8.5, MIT
@webassemblyjs/floating-point-hex-parser, 1.7.11, MIT
@webassemblyjs/floating-point-hex-parser, 1.7.6, MIT
@webassemblyjs/floating-point-hex-parser, 1.8.5, MIT
@webassemblyjs/helper-api-error, 1.7.11, MIT
@webassemblyjs/helper-api-error, 1.7.6, MIT
@webassemblyjs/helper-api-error, 1.8.5, MIT
@webassemblyjs/helper-buffer, 1.7.11, MIT
@webassemblyjs/helper-buffer, 1.7.6, MIT
@webassemblyjs/helper-buffer, 1.8.5, MIT
@webassemblyjs/helper-code-frame, 1.7.11, MIT
@webassemblyjs/helper-code-frame, 1.7.6, MIT
@webassemblyjs/helper-code-frame, 1.8.5, MIT
@webassemblyjs/helper-fsm, 1.7.11, ISC
@webassemblyjs/helper-fsm, 1.7.6, ISC
@webassemblyjs/helper-fsm, 1.8.5, ISC
@webassemblyjs/helper-module-context, 1.7.11, MIT
@webassemblyjs/helper-module-context, 1.7.6, MIT
@webassemblyjs/helper-module-context, 1.8.5, MIT
@webassemblyjs/helper-wasm-bytecode, 1.7.11, MIT
@webassemblyjs/helper-wasm-bytecode, 1.7.6, MIT
@webassemblyjs/helper-wasm-bytecode, 1.8.5, MIT
@webassemblyjs/helper-wasm-section, 1.7.11, MIT
@webassemblyjs/helper-wasm-section, 1.7.6, MIT
@webassemblyjs/helper-wasm-section, 1.8.5, MIT
@webassemblyjs/ieee754, 1.7.11, MIT
@webassemblyjs/ieee754, 1.7.6, MIT
@webassemblyjs/ieee754, 1.8.5, MIT
@webassemblyjs/leb128, 1.7.11, MIT
@webassemblyjs/leb128, 1.7.6, MIT
@webassemblyjs/leb128, 1.8.5, MIT
@webassemblyjs/utf8, 1.7.11, MIT
@webassemblyjs/utf8, 1.7.6, MIT
@webassemblyjs/utf8, 1.8.5, MIT
@webassemblyjs/wasm-edit, 1.7.11, MIT
@webassemblyjs/wasm-edit, 1.7.6, MIT
@webassemblyjs/wasm-edit, 1.8.5, MIT
@webassemblyjs/wasm-gen, 1.7.11, MIT
@webassemblyjs/wasm-gen, 1.7.6, MIT
@webassemblyjs/wasm-gen, 1.8.5, MIT
@webassemblyjs/wasm-opt, 1.7.11, MIT
@webassemblyjs/wasm-opt, 1.7.6, MIT
@webassemblyjs/wasm-opt, 1.8.5, MIT
@webassemblyjs/wasm-parser, 1.7.11, MIT
@webassemblyjs/wasm-parser, 1.7.6, MIT
@webassemblyjs/wasm-parser, 1.8.5, MIT
@webassemblyjs/wast-parser, 1.7.11, MIT
@webassemblyjs/wast-parser, 1.7.6, MIT
@webassemblyjs/wast-parser, 1.8.5, MIT
@webassemblyjs/wast-printer, 1.7.11, MIT
@webassemblyjs/wast-printer, 1.7.6, MIT
@webassemblyjs/wast-printer, 1.8.5, MIT
@xtuc/ieee754, 1.2.0, "New BSD"
@xtuc/long, 4.2.1, "Apache 2.0"
@xtuc/long, 4.2.2, "Apache 2.0"
Base64, 0.2.1, WTFPL
JSONStream, 0.6.4, "Apache 2.0"
JSONStream, 0.7.4, "Apache 2.0"
JSONStream, 1.3.0, "(MIT OR Apache-2.0)"
JSONStream, 1.3.1, "(MIT OR Apache-2.0)"
JSONStream, 1.3.2, "(MIT OR Apache-2.0)"
JSONStream, 1.3.4, "(MIT OR Apache-2.0)"
abab, 1.0.3, ISC
abab, 1.0.4, ISC
abab, 2.0.0, "SEE LICENSE IN LICENSE.md"
abbrev, 1.0.9, ISC
abbrev, 1.1.0, ISC
abbrev, 1.1.1, ISC
accepts, 1.3.3, MIT
accepts, 1.3.4, unknown
accepts, 1.3.5, MIT
accepts, 1.3.7, MIT
accord, 0.26.3, MIT
acorn, 1.2.2, MIT
acorn, 2.7.0, MIT
acorn, 3.3.0, MIT
acorn, 4.0.11, MIT
acorn, 4.0.13, MIT
acorn, 4.0.3, MIT
acorn, 4.0.4, MIT
acorn, 5.0.3, MIT
acorn, 5.3.0, MIT
acorn, 5.4.1, MIT
acorn, 5.7.1, MIT
acorn, 5.7.3, MIT
acorn, 6.0.4, MIT
acorn, 6.1.1, MIT
acorn, 7.1.0, MIT
acorn-dynamic-import, 2.0.2, MIT
acorn-dynamic-import, 3.0.0, MIT
acorn-dynamic-import, 4.0.0, MIT
acorn-es7-plugin, 1.1.7, MIT
acorn-globals, 1.0.9, MIT
acorn-globals, 3.1.0, MIT
acorn-globals, 4.1.0, MIT
acorn-globals, 4.3.0, MIT
acorn-jsx, 3.0.1, MIT
acorn-jsx, 5.0.1, MIT
acorn-node, 1.3.0, "Apache 2.0"
acorn-node, 1.8.2, "Apache 2.0"
acorn-object-spread, 1.0.0, MIT
acorn-walk, 6.1.1, MIT
acorn-walk, 7.0.0, MIT
acorn5-object-spread, 4.0.0, MIT
add-stream, 1.0.0, MIT
address, 1.0.3, MIT
address, 1.1.0, MIT
after, 0.8.1, MIT*
after, 0.8.2, MIT
agent-base, 2.1.1, MIT
ajv, 4.11.3, MIT
ajv, 4.11.8, MIT
ajv, 5.2.3, MIT
ajv, 5.5.2, MIT
ajv, 6.10.0, MIT
ajv, 6.5.3, MIT
ajv, 6.6.2, MIT
ajv-errors, 1.0.1, MIT
ajv-keywords, 1.5.1, MIT
ajv-keywords, 2.1.1, MIT
ajv-keywords, 3.2.0, MIT
ajv-keywords, 3.4.0, MIT
align-text, 0.1.4, MIT
alphanum-sort, 1.0.2, MIT
amdefine, 1.0.1, "BSD-3-Clause OR MIT"
ansi, 0.3.1, MIT
ansi-align, 2.0.0, ISC
ansi-colors, 3.2.3, MIT
ansi-colors, 3.2.4, MIT
ansi-cyan, 0.1.1, MIT
ansi-escapes, 1.4.0, MIT
ansi-escapes, 3.0.0, MIT
ansi-escapes, 3.1.0, MIT
ansi-escapes, 3.2.0, MIT
ansi-html, 0.0.7, "Apache 2.0"
ansi-red, 0.1.1, MIT
ansi-regex, 0.2.1, MIT
ansi-regex, 2.0.0, MIT
ansi-regex, 2.1.1, MIT
ansi-regex, 3.0.0, MIT
ansi-regex, 4.1.0, MIT
ansi-styles, 1.0.0, MIT
ansi-styles, 1.1.0, MIT
ansi-styles, 2.2.1, MIT
ansi-styles, 3.2.0, MIT
ansi-styles, 3.2.1, MIT
ansi-wrap, 0.1.0, MIT
ansicolors, 0.2.1, MIT
any-promise, 0.1.0, MIT
any-promise, 1.3.0, MIT
anymatch, 1.3.0, ISC
anymatch, 1.3.2, ISC
anymatch, 2.0.0, ISC
append-transform, 0.4.0, MIT
append-transform, 1.0.0, MIT
aproba, 1.0.4, ISC
aproba, 1.1.2, ISC
aproba, 1.2.0, ISC
arch, 2.1.1, MIT
archy, 1.0.0, MIT
are-we-there-yet, 1.1.2, ISC
are-we-there-yet, 1.1.4, ISC
are-we-there-yet, 1.1.5, ISC
argparse, 1.0.10, MIT
argparse, 1.0.9, MIT
aria-query, 0.7.1, "Apache 2.0"
arr-diff, 1.1.0, MIT
arr-diff, 2.0.0, MIT
arr-diff, 4.0.0, MIT
arr-flatten, 1.0.1, MIT
arr-flatten, 1.0.3, MIT
arr-flatten, 1.1.0, MIT
arr-union, 2.1.0, MIT
arr-union, 3.1.0, MIT
array-differ, 1.0.0, MIT
array-each, 1.0.1, MIT
array-equal, 1.0.0, MIT
array-filter, 0.0.1, MIT
array-find-index, 1.0.2, MIT
array-flatten, 1.1.1, MIT
array-flatten, 2.1.2, MIT
array-ify, 1.0.0, MIT
array-includes, 3.0.3, MIT
array-index, 1.0.0, MIT
array-map, 0.0.0, MIT
array-reduce, 0.0.0, MIT
array-slice, 0.2.3, MIT
array-union, 1.0.2, MIT
array-uniq, 1.0.3, MIT
array-unique, 0.2.1, MIT
array-unique, 0.3.2, MIT
array.prototype.find, 2.0.3, MIT
array.prototype.find, 2.0.4, MIT
arraybuffer.slice, 0.0.6, MIT
arrify, 1.0.1, MIT
asap, 2.0.5, MIT
asap, 2.0.6, MIT
asn1, 0.2.3, unknown
asn1, 0.2.4, MIT
asn1.js, 4.10.1, MIT
asn1.js, 4.9.0, MIT
asn1.js, 4.9.1, MIT
asn1.js, 4.9.2, unknown
assert, 1.1.2, MIT
assert, 1.3.0, MIT
assert, 1.4.1, MIT
assert, 1.5.0, MIT
assert-plus, 0.2.0, MIT
assert-plus, 1.0.0, MIT
assertion-error, 1.0.2, MIT
assertion-error, 1.1.0, MIT
assign-symbols, 1.0.0, MIT
ast-types, 0.8.15, MIT
ast-types, 0.9.1, MIT
ast-types, 0.9.6, MIT
ast-types-flow, 0.0.7, ISC
astral-regex, 1.0.0, MIT
astw, 2.0.0, MIT
astw, 2.2.0, MIT
async, 0.1.22, MIT
async, 0.2.10, MIT
async, 0.9.2, MIT
async, 1.5.2, MIT
async, 2.0.0-rc.4, MIT
async, 2.1.2, MIT
async, 2.1.5, MIT
async, 2.4.0, MIT
async, 2.5.0, MIT
async, 2.6.0, MIT
async, 2.6.1, MIT
async, 2.6.2, MIT
async-done, 1.2.2, MIT
async-each, 1.0.1, MIT
async-each, 1.0.2, MIT
async-each, 1.0.3, MIT
async-foreach, 0.1.3, MIT*
async-limiter, 1.0.0, MIT
asynckit, 0.4.0, MIT
atob, 1.1.3, "(MIT OR Apache-2.0)"
atob, 2.1.2, "(MIT OR Apache-2.0)"
autoprefixer, 6.5.2, MIT
autoprefixer, 6.7.4, MIT
autoprefixer, 6.7.7, MIT
autoprefixer, 8.6.5, MIT
autoprefixer, 9.5.1, MIT
aws-sign2, 0.6.0, "Apache 2.0"
aws-sign2, 0.7.0, "Apache 2.0"
aws4, 1.5.0, MIT
aws4, 1.6.0, unknown
aws4, 1.8.0, MIT
axios, 0.18.0, MIT
axobject-query, 0.1.0, "Apache 2.0"
babel-cli, 6.24.1, MIT
babel-cli, 6.26.0, MIT
babel-code-frame, 6.16.0, MIT
babel-code-frame, 6.22.0, MIT
babel-code-frame, 6.26.0, MIT
babel-core, 6.18.2, MIT
babel-core, 6.23.1, MIT
babel-core, 6.24.1, MIT
babel-core, 6.26.0, MIT
babel-core, 6.26.3, MIT
babel-core, 7.0.0-bridge.0, MIT
babel-eslint, 10.0.1, MIT
babel-eslint, 8.2.3, MIT
babel-eslint, 8.2.6, MIT
babel-generator, 6.18.0, MIT
babel-generator, 6.23.0, MIT
babel-generator, 6.24.1, MIT
babel-generator, 6.26.0, MIT
babel-generator, 6.26.1, MIT
babel-helper-bindify-decorators, 6.24.1, MIT
babel-helper-builder-binary-assignment-operator-visitor, 6.22.0, MIT
babel-helper-builder-binary-assignment-operator-visitor, 6.24.1, MIT
babel-helper-builder-react-jsx, 6.26.0, MIT
babel-helper-call-delegate, 6.18.0, MIT
babel-helper-call-delegate, 6.22.0, MIT
babel-helper-call-delegate, 6.24.1, MIT
babel-helper-define-map, 6.18.0, MIT
babel-helper-define-map, 6.23.0, MIT
babel-helper-define-map, 6.26.0, MIT
babel-helper-explode-assignable-expression, 6.22.0, MIT
babel-helper-explode-assignable-expression, 6.24.1, MIT
babel-helper-explode-class, 6.24.1, MIT
babel-helper-function-name, 6.18.0, MIT
babel-helper-function-name, 6.23.0, MIT
babel-helper-function-name, 6.24.1, MIT
babel-helper-get-function-arity, 6.18.0, MIT
babel-helper-get-function-arity, 6.22.0, MIT
babel-helper-get-function-arity, 6.24.1, MIT
babel-helper-hoist-variables, 6.18.0, MIT
babel-helper-hoist-variables, 6.22.0, MIT
babel-helper-hoist-variables, 6.24.1, MIT
babel-helper-optimise-call-expression, 6.18.0, MIT
babel-helper-optimise-call-expression, 6.23.0, MIT
babel-helper-optimise-call-expression, 6.24.1, MIT
babel-helper-regex, 6.18.0, MIT
babel-helper-regex, 6.22.0, MIT
babel-helper-regex, 6.26.0, MIT
babel-helper-remap-async-to-generator, 6.22.0, MIT
babel-helper-remap-async-to-generator, 6.24.1, MIT
babel-helper-replace-supers, 6.18.0, MIT
babel-helper-replace-supers, 6.23.0, MIT
